難易度,お題,ひらがな,別解1,別解2,別解3,別解4,別解5,別解6,別解7,別解8,別解9,別解10,別解11,別解12,別解13,別解14,別解15,別解16,別解17,別解18,別解19,別解20,別解21,別解22,別解23,別解24,別解25,別解26,別解27,別解28,別解29,別解30,別解31,別解32,別解33,別解34,別解35,別解36
やさしい,アヒル,あひる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アフロヘア―,あふろへあー,あふろ,あふろへあ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,雨,あめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,飴（あめ）,あめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アメリカ合衆国,あめりかがっしゅうこく,あめりか,がっしゅうこく,ゆーえすえー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アメンボ,あめんぼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,あやとり,あやとり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,嵐,あらし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アリ,あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アリの巣,ありのす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アルパカ,あるぱか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アルマジロ,あるまじろ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,アンコウ,あんこう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,安心,あんしん,りらっくす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,安全ピン,あんぜんぴん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,あんぱん,あんぱん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,胃,い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イースター島,いーすたーとう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,家,いえ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イエローカード,いえろーかーど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イカ,いか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,いかだ,いかだ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イカ焼き,いかやき,やきいか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,いくら,いくら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イケメン,いけめん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,医師,いし,いしゃ,おいしゃさん,どくたー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,石の上にも三年,いしのうえにもさんねん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イス,いす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イソギンチャク,いそぎんちゃく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,痛車,いたしゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イチゴ,いちご,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イチゴ牛乳,いちごぎゅうにゅう,いちごおーれ,いちごおれ,いちごみるく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,いちごショートケーキ,いちごしょーとけーき,しょーとけーき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,いちょう,いちょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,一輪車,いちりんしゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,一休さん,いっきゅうさん,いっきゅう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,一寸法師（いっすんぼうし）,いっすんぼうし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,井戸,いど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,糸電話,いとでんわ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イヌ,いぬ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,犬も歩けば棒に当たる,いぬもあるけばぼうにあたる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イノシシ,いのしし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,井の中の蛙大海を知らず,いのなかのかわずたいかいをしらず,いのなかのかわず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,いびき,いびき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,今川焼き,いまがわやき,あじまん,おおばんやき,おやき,かいてんやき,ござそうろう,たいこまん,にじゅうやき,ひぎりやき,ふたえやき,みかさやき,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,妹,いもうと,いもうとけい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イモムシ,いもむし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イヤホン,いやほん,いやーふぉん,いやーほん,いやふぉん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,イルカ,いるか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,印鑑,いんかん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,隕石（いんせき）,いんせき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,インターホン,いんたーほん,いんたーこむ,よびりん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,インド,いんど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウィンナーコーヒー,うぃんなーこーひー,ういんなーこーひー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウエディングケーキ,うえでぃんぐけーき,うぇでぃんぐけーき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウェディングドレス,うぇでぃんぐどれす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,うきわ,うきわ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウサギ,うさぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウサギとカメ,うさぎとかめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,うさ耳,うさみみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウシ,うし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,内股,うちまた,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,宇宙,うちゅう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,宇宙人,うちゅうじん,いせいじん,えいりあん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,宇宙飛行士,うちゅうひこうし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,うちわ,うちわ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,腕時計,うでどけい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウナギ,うなぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウニ,うに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウマ,うま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,馬の耳に念仏,うまのみみにねんぶつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,海,うみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウミガメ,うみがめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ウメ,うめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,浦島太郎,うらしまたろう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,占い師,うらない,うらないし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,上履き,うわばき,うわぐつ,しつないばき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,うんてい,うんてい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,運動会,うんどうかい,たいいくさい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,運命の赤い糸,うんめいのあかいいと,あかいいと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エイ,えい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,映画,えいが,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,映画館,えいがかん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,笑顔,えがお,すまいる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エクレア,えくれあ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エジプト,えじぷと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エスカレーター,えすかれーたー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,えだまめ,えだまめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,絵日記,えにっき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,絵の具,えのぐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エビ,えび,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エビフライ,えびふらい,えびてん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エプロン,えぷろん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,恵方まき,えほうまき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,絵本,えほん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,絵馬,えま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エレベーター,えれべーたー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,演歌,えんか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エンジン,えんじん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,遠足,えんそく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,煙突,えんとつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,エンピツ,えんぴつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,鉛筆削り,えんぴつけずり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,王冠,おうかん,かんむり,くらうん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,横断歩道,おうだんほどう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オウムガイ,おうむがい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オオカミ,おおかみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,大きな古時計,おおきなふるどけい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,大阪府,おおさかふ,おおさか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オーストラリア,おーすとらりあ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,大玉転がし,おおだまころがし,おおだま,おおたまころがし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,大縄跳び,おおなわとび,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オーロラ,おーろら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,お菓子の家,おかしのいえ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おかっぱ,おかっぱ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,沖縄県,おきなわけん,おきなわ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,お賽銭（さいせん）,おさいせん,さいせん,さいせんばこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,お酒,おさけ,さけ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おじいちゃん,おじいちゃん,じいちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おしゃぶり,おしゃぶり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,お寿司,おすし,すし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おたま,おたま,おたまじゃくし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オタマジャクシ,おたまじゃくし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,お茶漬け,おちゃづけ,ちゃづけ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おちょこ,おちょこ,ちょこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おてだま,おてだま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おでん,おでん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,落とし穴,おとしあな,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,お年玉,おとしだま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おなら,おなら,へ,ほうひ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,鬼,おに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おにぎり,おにぎり,おむすび,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,鬼に金棒,おににかなぼう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おばあちゃん,おばあちゃん,ばあちゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おひなさま,おひなさま,ひなにんぎょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おみくじ,おみくじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おむすびころりん,おむすびころりん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オムツ,おむつ,おしめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オムライス,おむらいす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オムレツ,おむれつ,おむれっと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,お面,おめん,めん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,おもちゃ,おもちゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オヤジ,おやじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,親指,おやゆび,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,檻（おり）,おり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,オリーブオイル,おりーぶおいる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,折り紙,おりがみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,音楽,おんがく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,温泉,おんせん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,温泉卵,おんせんたまご,おんたま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,温度計,おんどけい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,音符,おんぷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,蚊,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,怪獣,かいじゅう,かいぶつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,海水浴,かいすいよく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,海賊,かいぞく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,懐中電灯,かいちゅうでんとう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,懐中時計,かいちゅうどけい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,回転ずし,かいてんずし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,街灯,がいとう,がいろとう,がすとう,ぼうはんとう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カエル,かえる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,火炎放射器,かえんほうしゃき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,顔文字,かおもじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かかし,かかし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,鍵（かぎ）,かぎ,きー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かき氷,かきごおり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,拡声器,かくせいき,めがふぉん,めがほん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かぐや姫,かぐやひめ,かぐや,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かくれんぼ,かくれんぼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,影,かげ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,影絵,かげえ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,掛け軸,かけじく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かさ,かさ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かざぐるま,かざぐるま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,笠地蔵（かさじぞう）,かさじぞう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,歌手,かしゅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カスタネット,かすたねっと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ガスマスク,がすますく,ぼうどくめん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,風邪,かぜ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,肩,かた,しょるだー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,肩たたき,かたたたき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カタツムリ,かたつむり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かちかち山,かちかちやま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ガチャガチャ,がちゃがちゃ,がしゃぽん,がちゃ,がちゃぽん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,学校,がっこう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カッター,かったー,かったーないふ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,河童（かっぱ）,かっぱ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カップラーメン,かっぷらーめん,かっぷぬーどる,かっぷめん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かつら,かつら,づら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,門松,かどまつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,蚊取り線香,かとりせんこう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カニ,かに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カバン,かばん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,画鋲（がびょう）,がびょう,おしぴん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,花瓶,かびん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カブトムシ,かぶとむし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,花粉症,かふんしょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かぼちゃ,かぼちゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,鎌（かま）,かま,さいす,さいず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カマキリ,かまきり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かまくら,かまくら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かまぼこ,かまぼこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,紙,かみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,雷,かみなり,いかずち,さんだー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,紙飛行機,かみひこうき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,紙風船,かみふうせん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,ガム,がむ,ちゅーいんがむ,ふーせんがむ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カメ,かめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カメムシ,かめむし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カメラ,かめら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カメラマン,かめらまん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カモ,かも,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カモメ,かもめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カラーコンタクト,からーこんたくと,からーこんたくとれんず,からこん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,からくり人形,からくりにんぎょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カラス,からす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,かりんとう,かりんとう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カレーライス,かれーらいす,かりー,かれー,らいすかれー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,川,かわ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,カンガルー,かんがるー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やさしい,韓国,かんこく,こりあ,だいかんみんこく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
